anio_ocu,mes_ocu,día_ocu,hora_ocu,depto_ocu,edad_per,delito_com
2020,1,2,9,22,48,75
2020,1,3,13,1,60,75
2020,1,3,11,1,66,75
2020,1,4,11,1,22,75
2020,1,4,14,1,34,69
2020,1,4,23,5,21,75
2020,1,4,23,5,21,75
2020,1,5,17,1,73,75
2020,1,6,7,1,35,75
2020,1,6,8,4,55,69
2020,1,8,20,1,54,75
2020,1,8,10,18,43,75
2020,1,8,12,3,28,75
2020,1,9,20,1,32,75
2020,1,9,11,2,35,75
2020,1,10,14,17,46,75
2020,1,10,19,1,48,75
2020,1,12,7,1,42,75
2020,1,12,7,5,42,75
2020,1,12,21,2,68,75
2020,1,12,8,3,57,75
2020,1,14,11,5,21,75
2020,1,15,10,20,45,75
2020,1,15,10,1,25,75
2020,1,16,12,22,34,75
2020,1,17,12,1,31,75
2020,1,17,12,1,31,75
2020,1,17,15,2,39,75
2020,1,17,9,18,39,75
2020,1,18,7,1,45,75
2020,1,18,13,18,39,75
2020,1,19,10,1,41,69
2020,1,19,5,22,38,69
2020,1,19,21,5,40,75
2020,1,19,2,18,35,69
2020,1,20,21,1,22,69
2020,1,20,20,1,40,69
2020,1,20,15,5,50,75
2020,1,20,15,5,50,75
2020,1,21,14,1,29,69
2020,1,21,7,19,61,75
2020,1,21,14,5,39,69
2020,1,21,19,5,33,75
2020,1,21,5,5,39,75
2020,1,21,14,5,52,75
2020,1,23,10,18,47,75
2020,1,23,9,13,999,69
2020,1,24,16,21,27,75
2020,1,26,11,3,29,75
2020,1,28,12,1,35,75
2020,1,28,19,2,24,75
2020,1,29,19,5,58,75
2020,1,31,21,10,51,75
2020,2,2,22,1,36,69
2020,2,2,99,1,36,75
2020,2,2,12,22,55,69
2020,2,3,4,1,57,75
2020,2,3,17,1,49,75
2020,2,3,99,22,32,75
2020,2,3,16,5,55,75
2020,2,4,5,1,58,75
2020,2,4,11,19,41,69
2020,2,6,17,1,30,69
2020,2,7,13,1,37,69
2020,2,7,9,10,27,69
2020,2,7,8,18,999,69
2020,2,8,9,1,28,75
2020,2,8,12,5,33,75
2020,2,10,3,1,30,69
2020,2,10,3,1,43,69
2020,2,10,12,1,45,75
2020,2,10,11,18,40,75
2020,2,10,11,18,40,75
2020,2,10,15,4,46,69
2020,2,11,17,4,65,75
2020,2,13,17,1,61,69
2020,2,13,15,22,58,75
2020,2,13,20,18,42,69
2020,2,13,11,18,54,75
2020,2,13,19,18,28,69
2020,2,13,19,18,31,69
2020,2,14,8,17,43,69
2020,2,15,16,19,39,69
2020,2,16,14,19,40,75
2020,2,17,19,18,24,69
2020,2,18,11,1,48,69
2020,2,18,11,1,48,69
2020,2,18,11,1,48,69
